VCD info: dumpfile sha1block_tb.vcd opened for output.
VCD warning: $dumpvars: Package ($unit) is not dumpable with VCD.
 i  rst   word   |  t words[0] |
  0  0  00000000 |  0 xxxxxxxx | 00000000 00000000 00000000 00000000 00000000
  1  1  00000000 |  0 00000000 | 00000000 00000000 00000000 00000000 00000000
  2  1  00000000 |  0 00000000 | 67452301 efcdab89 98badcfe 10325476 c3d2e1f0
  3  1  00000000 |  0 00000000 | 67452301 efcdab89 98badcfe 10325476 c3d2e1f0
  4  0  61626380 |  0 00000000 | 67452301 efcdab89 98badcfe 10325476 c3d2e1f0
  5  0  00000000 |  1 61626380 | 67452301 efcdab89 98badcfe 10325476 c3d2e1f0
  6  0  00000000 |  2 00000000 | 0116fc33 67452301 7bf36ae2 98badcfe 10325476
  7  0  00000000 |  3 00000000 | 8990536d 0116fc33 59d148c0 7bf36ae2 98badcfe
  8  0  00000000 |  4 00000000 | a1390f08 8990536d c045bf0c 59d148c0 7bf36ae2
  9  0  00000000 |  5 00000000 | cdd8e11b a1390f08 626414db c045bf0c 59d148c0
 10  0  00000000 |  6 00000000 | cfd499de cdd8e11b 284e43c2 626414db c045bf0c
 11  0  00000000 |  7 00000000 | 3fc7ca40 cfd499de f3763846 284e43c2 626414db
 12  0  00000000 |  8 00000000 | 993e30c1 3fc7ca40 b3f52677 f3763846 284e43c2
 13  0  00000000 |  9 00000000 | 9e8c07d4 993e30c1 0ff1f290 b3f52677 f3763846
 14  0  00000000 | 10 00000000 | 4b6ae328 9e8c07d4 664f8c30 0ff1f290 b3f52677
 15  0  00000000 | 11 00000000 | 8351f929 4b6ae328 27a301f5 664f8c30 0ff1f290
 16  0  00000000 | 12 00000000 | fbda9e89 8351f929 12dab8ca 27a301f5 664f8c30
 17  0  00000000 | 13 00000000 | 63188fe4 fbda9e89 60d47e4a 12dab8ca 27a301f5
 18  0  00000000 | 14 00000000 | 4607b664 63188fe4 7ef6a7a2 60d47e4a 12dab8ca
 19  0  00000018 | 15 00000000 | 9128f695 4607b664 18c623f9 7ef6a7a2 60d47e4a
 20  0  00000018 | 16 00000018 | 196bee77 9128f695 1181ed99 18c623f9 7ef6a7a2
 21  0  00000018 | 17 c2c4c700 | 20bdd62f 196bee77 644a3da5 1181ed99 18c623f9
 22  0  00000018 | 18 00000000 | 4e925823 20bdd62f c65afb9d 644a3da5 1181ed99
 23  0  00000018 | 19 00000030 | 82aa6728 4e925823 c82f758b c65afb9d 644a3da5
 24  0  00000018 | 20 85898e01 | dc64901d 82aa6728 d3a49608 c82f758b c65afb9d
 25  0  00000018 | 21 00000000 | fd9e1d7d dc64901d 20aa99ca d3a49608 c82f758b
 26  0  00000018 | 22 00000060 | 1a37b0ca fd9e1d7d 77192407 20aa99ca d3a49608
 27  0  00000018 | 23 0b131c03 | 33a23bfc 1a37b0ca 7f67875f 77192407 20aa99ca
 28  0  00000018 | 24 00000030 | 21283486 33a23bfc 868dec32 7f67875f 77192407
 29  0  00000018 | 25 85898ec1 | d541f12d 21283486 0ce88eff 868dec32 7f67875f
 30  0  00000018 | 26 16263806 | c7567dc6 d541f12d 884a0d21 0ce88eff 868dec32
 31  0  00000018 | 27 00000000 | 48413ba4 c7567dc6 75507c4b 884a0d21 0ce88eff
 32  0  00000018 | 28 00000180 | be35fbd5 48413ba4 b1d59f71 75507c4b 884a0d21
 33  0  00000018 | 29 2c4c700c | 4aa84d97 be35fbd5 12104ee9 b1d59f71 75507c4b
 34  0  00000018 | 30 000000f0 | 8370b52e 4aa84d97 6f8d7ef5 12104ee9 b1d59f71
