VCD info: dumpfile sha1shift_tb.vcd opened for output.
 t  in  |  out
  0 61626380 | xxxxxxxx
  1 00000000 | 61626380
  2 00000000 | 00000000
  3 00000000 | 00000000
  4 00000000 | 00000000
  5 00000000 | 00000000
  6 00000000 | 00000000
  7 00000000 | 00000000
  8 00000000 | 00000000
  9 00000000 | 00000000
 10 00000000 | 00000000
 11 00000000 | 00000000
 12 00000000 | 00000000
 13 00000000 | 00000000
 14 00000000 | 00000000
 15 00000018 | 00000000
 16 00000000 | 00000018
 17 00000000 | c2c4c700
 18 00000000 | 00000000
 19 00000000 | 00000030
 20 00000000 | 85898e01
 21 00000000 | 00000000
 22 00000000 | 00000060
 23 00000000 | 0b131c03
 24 00000000 | 00000030
 25 00000000 | 85898ec1
 26 00000000 | 16263806
 27 00000000 | 00000000
 28 00000000 | 00000180
 29 00000000 | 2c4c700c
 30 00000000 | 000000f0
 31 00000000 | 93afb507
 32 00000000 | 5898e048
 33 00000000 | 8e9a9202
 34 00000000 | 00000600
 35 00000000 | b131c0f0
 36 00000000 | 16263bc6
 37 00000000 | 4ebed41e
 38 00000000 | 626380a1
 39 00000000 | 16263806
 40 00000000 | 000018c0
 41 00000000 | d2e138c4
 42 00000000 | 00000f00
 43 00000000 | 3afb5079
 44 00000000 | 898e04e5
 45 00000000 | e2ba3c2b
 46 00000000 | 000060c0
 47 00000000 | 053a37cd
 48 00000000 | 74458547
 49 00000000 | da9415ed
 50 00000000 | 26380a16
 51 00000000 | 626383a1
 52 00000000 | 4ebf54de
 53 00000000 | 3835b44b
 54 00000000 | 0000f600
 55 00000000 | 1e84c7a3
 56 00000000 | 98e04d98
 57 00000000 | 651d16a0
 58 00000000 | 62658ca1
 59 00000000 | 458544d6
 60 00000000 | 44584cb7
 61 00000000 | 7ba06619
 62 00000000 | 6380aea2
 63 00000000 | 0ae55269
 64 00000000 | 627b49a1
 65 00000000 | 7cd45c9d
 66 00000000 | 000f0000
 67 00000000 | fb50753a
 68 00000000 | ec6765e8
 69 00000000 | ba3c2be2
 70 00000000 | 0060c000
 71 00000000 | 3a37cd05
 72 00000000 | 458546f4
 73 00000000 | b8599dd6
 74 00000000 | 380a1a26
 75 00000000 | 01e02203
 76 00000000 | e7cc3456
 77 00000000 | e6e60b69
 78 00000000 | 00f60a00
 79 00000000 | 5795ef4f
 80 00000000 | 822e0879
 81 00000000 | 7e577ce2
 82 00000000 | 07ef2103
 83 00000000 | 8544e945
 84 00000000 | eb39dab8
 85 00000000 | c205991a
 86 00000000 | 80aecb63
 87 00000000 | 7d84ca48
 88 00000000 | 7b499b62
 89 00000000 | 8e8010a8
 90 00000000 | 4b5b8a77
 91 00000000 | 3216b69a
 92 00000000 | 0507e88d
 93 00000000 | 705bee96
 94 00000000 | 60c0ff00
 95 00000000 | a28362d0
 96 00000000 | 1da6b91d
 97 00000000 | 2aa6f41e
